Year,Team,NAME ,No.,Pos,Ht,Wt,Age,Exp,College,FirstName,LastName,Ft,In,Inches,,,,,
2022,Arizona,Nick Vigil,57,ILB,6-2,239,28,7,Utah State,Nick,Vigil,6,2,74,,,,,
2022,Arizona,Joe Walker,59,ILB,6-2,236,29,7,Oregon,Joe,Walker,6,2,74,,,,,
2022,Arizona,Jonathan Ward,29,RB,6-0,202,24,3,Central Michigan,Jonathan,Ward,6,0,72,,,,,
2022,Arizona,Charles Washington,28,S,5-10,192,29,6,Fresno State,Charles,Washington,5,10,70,,,,,
2022,New Orleans,Dwayne Washington,24,RB,6-1,223,28,7,Washington,Dwayne,Washington,6,1,73,,,,,
2022,New Orleans,Khalique Washington,65,OT,6-5,339,23,R,Southern Mississippi,Khalique,Washington,6,5,77,,,,,
2022,Arizona,J.J. Watt,99,DE,6-5,288,33,12,Wisconsin,J.J.,Watt,6,5,77,,,,,
2022,New Orleans,Pete Werner,20,LB,6-3,242,23,2,Ohio State,Pete,Werner,6,3,75,,,,,
2022,Arizona,Antoine Wesley,13,WR,6-4,206,24,3,Texas Tech,Antoine,Wesley,6,4,76,,,,,
2022,New Orleans,Kevin White,17,WR,6-3,216,30,6,West Virginia,Kevin,White,6,3,75,,,,,
2022,Arizona,Jace Whittaker,39,CB,5-11,185,27,1,Arizona,Jace,Whittaker,5,11,71,,,,,
2022,Arizona,James Wiggins,38,S,5-11,205,25,2,Cincinnati,James,Wiggins,5,11,71,,,,,
2022,Arizona,Darrel Williams,24,RB,5-11,224,27,5,LSU,Darrel,Williams,5,11,71,,,,,
2022,Arizona,Maxx Williams,87,TE,6-4,252,28,8,Minnesota,Maxx,Williams,6,4,76,,,,,
2022,New Orleans,P.J. Williams,26,CB,6-0,196,29,8,Florida State,P.J.,Williams,6,0,72,,,,,
2022,New Orleans,Eric Wilson,58,LB,6-1,230,27,6,Cincinnati,Eric,Wilson,6,1,73,,,,,
2022,Arizona,Marco Wilson,20,CB,5-11,187,23,2,Florida,Marco,Wilson,5,11,71,,,,,
2022,New Orleans,Jameis Winston,2,QB,6-4,231,28,8,Florida State,Jameis,Winston,6,4,76,,,,,
2022,New Orleans,Easop Winston Jr.,18,WR,6-0,192,25,1,Washington State,Easop,Winston Jr.,6,0,72,,,,,
2022,New Orleans,Zach Wood,49,LS,6-3,255,29,6,Southern Methodist,Zach,Wood,6,3,75,,,,,
2022,Arizona,Antwaun Woods,92,DT,6-1,328,29,5,USC,Antwaun,Woods,6,1,73,,,,,
2022,Arizona,Chandler Wooten,50,ILB,6-3,232,23,R,Auburn,Chandler,Wooten,6,3,75,,,,,
2022,Arizona,Deon Yelder,81,TE,6-4,255,27,4,Western Kentucky,Deon,Yelder,6,4,76,,,,,
2022,New Orleans,Landon Young,67,T,6-7,321,24,2,Kentucky,Landon,Young,6,7,79,,,,,
2010,Arizona,Hamza Abdullah ,41,S , 6-2 ,216,26,5,Washington State,Hamza,Abdullah ,6,2 ,74,,,,,
2010,Arizona,Michael Adams ,27,CB , 5-8 ,181,24,3,Louisiana-Lafayette,Michael,Adams ,5,8 ,68,,,,,
2010,New Orleans,Stanley Arnoux ,57,LB , 6-0 ,232,23,R ,Wake Forest,Stanley,Arnoux ,6,0 ,72,,,,,
2010,New Orleans,Remi Ayodele ,92,DT , 6-2 ,318,26,3,Oklahoma,Remi,Ayodele ,6,2 ,74,,,,,
2010,Arizona,Jason Banks ,79,DE , 6-5 ,296,24,1,Grambling State,Jason,Banks ,6,5 ,77,,,,,
2010,Arizona,Anthony Becht ,84,TE , 6-6 ,270,32,10,West Virginia,Anthony,Becht ,6,6 ,78,,,,,
2010,Arizona,Monty Beisel ,50,LB , 6-3 ,244,31,9,Kansas State,Monty,Beisel ,6,3 ,75,,,,,
2010,New Orleans,Mike Bell ,21,RB , 6-0 ,225,26,4,Arizona,Mike,Bell ,6,0 ,72,,,,,
2010,Arizona,Bertrand Berry ,92,DE , 6-3 ,254,34,12,Notre Dame,Bertrand,Berry ,6,3 ,75,,,,,
2010,Arizona,Anquan Boldin ,81,WR , 6-1 ,217,29,7,Florida State,Anquan,Boldin ,6,1 ,73,,,,,
2010,Arizona,Alan Branch ,78,DT , 6-5 ,338,25,3,Michigan,Alan,Branch ,6,5 ,77,,,,,
